pID,condition,target,distractor,start_time,typed_input,keypress_times,cleaned_response,cleaned_typingTimes,response_type,response_check,subj,trialNum,onset_time,onset_latency,edit_type
00ccdc61d8c7e1d75567f4ee807f60da,ID,table,table,1645560755456,"t,a,b,l,e,(Enter)",16455607579361646e61,table_,16455607579361646e61,pass,pass-target,1,1,1645560757936,2180,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,church,castle,1645560759040,"c,h,u,r,c,h,(Enter)",1.6455607616651644e+90,church_,1.6455607616651644e+90,pass,pass-target,1,2,1645560761665,2325,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,plate,cannon,1645560769208,"p,l,a,t,e,(Enter)",16455607712941646e61,plate_,16455607712941646e61,pass,pass-target,1,4,1645560771294,1786,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,pistol,XXXXX,1645560776880,"p,i,s,t,o,l,(Enter)",16455607784851654e74,pistol_,16455607784851654e74,pass,pass-target,1,6,1645560778485,1305,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,arm,train,1645560788429,"a,r,m,(Enter)",16455607901611645e35,arm_,16455607901611645e35,pass,pass-target,1,8,1645560790161,1432,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,cannon,cannon,1645560791165,"c,a,n,n,o,n,(Enter)",16455607928011651e74,cannon_,16455607928011651e74,pass,pass-target,1,9,1645560792801,1336,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,tortoise,swan,1645560794375,"t,o,r,t,o,i,s,e,(Enter)",16455607966481644e100,tortoise_,16455607966481644e100,pass,pass-target,1,10,1645560796648,1973,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,leg,XXXXX,1645560798907,"l,e,g,(Enter)",1645560800244165e36,leg_,1645560800244165e36,pass,pass-target,1,11,1645560800244,1037,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,deer,desk,1645560800972,"d,e,e,r,(Enter)",16455608035101647e48,deer_,16455608035101647e48,pass,pass-target,1,12,1645560803510,2238,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,skirt,sweater,1645560804368,"s,k,i,r,t,(Enter)",16455608062051646e61,skirt_,16455608062051646e61,pass,pass-target,1,13,1645560806205,1537,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,coat,coat,1645560814279,"c,o,a,t,(Enter)",16455608173811645e48,coat_,16455608173811645e48,pass,pass-target,1,15,1645560817381,2802,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,rabbit,church,1645560818778,"r,a,b,b,i,t,(Enter)",16455608210821655e74,rabbit_,16455608210821655e74,pass,pass-target,1,16,1645560821082,2004,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,bike,bike,1645560822378,"b,i,k,e,(Enter)",16455608244191653e48,bike_,16455608244191653e48,pass,pass-target,1,17,1645560824419,1741,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,bed,desk,1645560825265,"b,e,d,(Enter)",16455608271511648e35,bed_,16455608271511648e35,pass,pass-target,1,18,1645560827151,1586,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,table,XXXXX,1645560828708,"t,a,b,l,e,(Enter)",16455608302411656e61,table_,16455608302411656e61,pass,pass-target,1,19,1645560830241,1233,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,train,arm,1645560831294,"t,r,a,i,n,(Enter)",16455608332061648e61,train_,16455608332061648e61,pass,pass-target,1,20,1645560833206,1612,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,windmill,factory,1645560834630,"w,i,n,d,m,i,l,l,(Enter)",1645560836924164e101,windmill_,1645560836924164e101,pass,pass-target,1,21,1645560836924,1994,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,jug,XXXXX,1645560838707,"j,u,g,(Enter)",16455608402661646e35,jug_,16455608402661646e35,pass,pass-target,1,22,1645560840266,1259,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,plate,plate,1645560841052,"p,l,a,t,e,(Enter)",16455608429031643e61,plate_,16455608429031643e61,pass,pass-target,1,23,1645560842903,1551,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,swan,skirt,1645560844338,"s,w,a,n,(Enter)",16455608460011644e48,swan_,16455608460011644e48,pass,pass-target,1,24,1645560846001,1363,NA
00ccdc61d8c7e1d75567f4ee807f60da,ID,bed,bed,1645560847431,"b,e,d,(Enter)",1645560849127164e36,bed_,1645560849127164e36,pass,pass-target,1,25,1645560849127,1396,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,plane,car,1645560849788,"p,l,a,n,e,(Enter)",16455608513961643e61,plane_,16455608513961643e61,pass,pass-target,1,26,1645560851396,1308,NA
00ccdc61d8c7e1d75567f4ee807f60da,NEU,vest,XXXXX,1645560852992,"v,e,s,t,(Enter)",1645560855435165e49,vest_,1645560855435165e49,pass,pass-target,1,27,1645560855435,2143,NA
00ccdc61d8c7e1d75567f4ee807f60da,UNREL,plane,glass,1645560856339,"p,l,a,n,e,(Enter)",16455608588751646e61,plane_,16455608588751646e61,pass,pass-target,1,28,1645560858875,2236,NA
00ccdc61d8c7e1d75567f4ee807f60da,REL,leg,ear,1645560859983,"l,e,g,(Enter)",1645560861589164e36,leg_,1645560861589164e36,pass,pass-target,1,29,1645560861589,1306,NA
